original,augmented
"West Mall, 1 Bukit Batok Central Link, 658713","West uall, 1 Bukit Batok Central Link, SG 658713"
"West Mall, 1 Bukit Batok Central Link, 658713","west maLl, 1 bukit batoK cenTrAL LInk, Singapore 658713"
Techview 1 Kaki Bukit View #05-12 415941,TeCHvIew 1 Kaki bukIt vIeW #05-12 415941
Techview 1 Kaki Bukit View #05-12 415941,tEchview 1 kAki buKIt VIEw #05-12 415941
Techview 1 Kaki Bukit View #05-12 415941,teChvIEW 1 KAkI buKiT ViEw #05-12 (Near Gate 3)
Zhujiao Centre (Tekka Market) 665 Buffalo Road #01-188 210665,Zhujiao Centre (Tekka Market) 665 Buffalo ROAD #01-188
Zhujiao Centre (Tekka Market) 665 Buffalo Road #01-188 210665,Zhujiao Centre (Tekka Market) 665 Buffalo ROAD #01-18 210665
Zhujiao Centre (Tekka Market) 665 Buffalo Road #01-188 210665,zhujiAo cenTre (TeKkA Market) 665 BUffalO ROad #01-188 SG 210665 (Near Gate 3)
20 Cecil Street #18-06 Equity Plaza 49705,20 Cecil St #18-06 Equity Plazr 49705 (Behind Carpark)
20 Cecil Street #18-06 Equity Plaza 49705,20 Cecil Street #18-06 Equity Plaza
20 Cecil Street #18-06 Equity Plaza 49705,20 Cecil St #18-06 Equity Plaza S(49705) (Opposite Gate 3)
40 Duxton Hill 89618,40 Duxton Hill SG 89618
40 Duxton Hill 89618,40 ouXToN HIlL SG 89618 (Near Exit A)
40 Duxton Hill 89618,40 Duxton Hill 89618
"1 North Bridge Road, #21-04, High Street Centre 179094","1 North Bridge Rd, #21-04, High Street Centre SG 179094"
"1 North Bridge Road, #21-04, High Street Centre 179094",1 North Bridge Rd  #21-04  High Street Centre S179094 (Opposite Gate 3)
"1 North Bridge Road, #21-04, High Street Centre 179094",1 noRTh brIdge ROAd  #21-04  hiGH STreet Centre
"233 Ang Mo Kio Ave 3, 03-1192 560233",233 Ang Mo Kio Ave 3 03-1192 560233 (Beside MRT)
"233 Ang Mo Kio Ave 3, 03-1192 560233",233 Ang Mo Kio Ave 3  03-1192 (Near Exit A)
"233 Ang Mo Kio Ave 3, 03-1192 560233","233 anG Mo kio ave 3, 03-1192 SG 560233 (Opposite XXX)"
60 Martin Road 01-11 Trademart 239065,60 Martin Road 01-11 Trademart (Opposite Gate 3)
60 Martin Road 01-11 Trademart 239065,60 MaRtin rD 01-11 TRadEmaRt S(239065)
60 Martin Road 01-11 Trademart 239065,60 Martin rd 01-11 Trademart SG 239065
6 Temasek Boulevard #21-04 Suntec Tower 4 38986,6 Temasek blvd #21-04 Suntec Tower 4 S(38986)
6 Temasek Boulevard #21-04 Suntec Tower 4 38986,6 TEMaSeK bLvD #21-04 sunteC toWeR 4 Singapore 38986
6 Temasek Boulevard #21-04 Suntec Tower 4 38986,6 TeyaSek blvd #21-04 suntec toWer 4 S(38986)
896 Dunearn Road #04-06A Sime Darby Centre 589472,896 Dunearn Rd #04-06A Sime Darby Centre S589472
896 Dunearn Road #04-06A Sime Darby Centre 589472,896 dUnearn ROaD #04-06a smmE dArbY ceNtre 589472
896 Dunearn Road #04-06A Sime Darby Centre 589472,896 Dunearn Rd #04-06A Sime Darby Centre S(589472) (Opposite Gate 3)
"656 Woodlands Ring Road ,08-356 730656",656 Woodlands Ring ROAD 08-356 SG 730656
"656 Woodlands Ring Road ,08-356 730656","656 WOodLaNds rIng rOad ,08-356 Singapore 730656"
"656 Woodlands Ring Road ,08-356 730656","656 Woodlands Ring Road ,08-356 Singapore 730656"
"Blk 296D Choa Chu Kang Ave.2, ,11-54 684296","blk 296d Choa CHU kang AVE.2, ,11-54 S(684296) (Beside MRT)"
"Blk 296D Choa Chu Kang Ave.2, ,11-54 684296","Blk 296D Choa Chu Kang Ave.2, ,11-54 S(684296)"
"Blk 296D Choa Chu Kang Ave.2, ,11-54 684296","Blk 296D Choa Chu Kang Ave.2, ,11-54"
103 Rangoon Rd #01-01 218386,103 Rangoon Rd #01-01 Singapore 218386
103 Rangoon Rd #01-01 218386,103 Rjngoon Rd #1-01 SG 218386
103 Rangoon Rd #01-01 218386,103 Rangoon Rd #1-01 Singapore 218386
28 Race Course Rd 218550,28 Race Course Rd 218550 (Near Gate 3)
28 Race Course Rd 218550,28 Race Course Rd S218550
28 Race Course Rd 218550,28 RACe cOurSe Rd SG 218550
61 KAKI BUKIT AVENUE 1#04-33 417943,61 KAKI BUKIT AmENUE 1#04-33 417943
61 KAKI BUKIT AVENUE 1#04-33 417943,61 KAKI BUKIT AVENUE 1#04-33 SG 417943
61 KAKI BUKIT AVENUE 1#04-33 417943,61 kakI BuKit aveNUe 1#04-33 S(417943)
134 Joo Seng Road #01-01 Nobel Building 368359,134 Joo Seng rd #01-01 Nobel Building SG 368359 (Opposite Gate 3)
134 Joo Seng Road #01-01 Nobel Building 368359,134 joo senG roAD #01-01 NobeL BuiLDiNg S(368359)
134 Joo Seng Road #01-01 Nobel Building 368359,134 Joo Seng rd #01-01 Nobel Building 368359
2 Tuas South Street 2 #04-01 637895,2 Tuas sOutH st 2 #04-01 Singapore 637895 oBehind Carpark)
2 Tuas South Street 2 #04-01 637895,2 Tuas South st 2 #04-01 SG 637895
2 Tuas South Street 2 #04-01 637895,2 tuas souTH St 2 #04-01 637895
15 Jln Jelita S() 278339,15 Jln Jelita S() Singapore 278339 (Near Gate 3)
15 Jln Jelita S() 278339,15 JlN jeLita S() 278339
15 Jln Jelita S() 278339,15 Jln JeLitd s() 278339 (Near Gate 3)
39 Keppel Road BLK 2 #02-04 Tanjong Pagar Distripark 2 89065,39 Keppel ROAD BLK 2 #02-04 Tanjong Pagar Distripark 2 S(89065)
39 Keppel Road BLK 2 #02-04 Tanjong Pagar Distripark 2 89065,39 keppel rOAd blk 2 #02-04 tanJoNh PagaR DisTripArk 2
39 Keppel Road BLK 2 #02-04 Tanjong Pagar Distripark 2 89065,39 Keppel rd BLK 2 #2-04 Tanjong Pagar Distripark 2 S(89065)
56 New Upper Changi Road #01-1292 461056,56 New uppeR cHAngI rD #1-1292 461056 (Behind Carpirk)
56 New Upper Changi Road #01-1292 461056,56 new UppeR cHaNgi roAd #01-12 SG 461056 (Beside MRT)
56 New Upper Changi Road #01-1292 461056,56 NeW UppeR ChanGi rOad #01-1292 461056 (Behind Carpark)
157C Tamarind Road 01-04 806107,157c tamArInd road 01-04
157C Tamarind Road 01-04 806107,157c TAmarind rd 01-04 806107
157C Tamarind Road 01-04 806107,157c TamARInD rd 01-04 Singapore 806107
50 Jalan Benaan Kapal 399641,50 jadaN benaAn Kapal S399641 (Opposite Gate 3)
50 Jalan Benaan Kapal 399641,50 Jalan Benaan Kapal Singapore 399641 (Opposite XXX)
50 Jalan Benaan Kapal 399641,50 Jalan Benaan Kapal 399641
10 Jln Besar #03-18 Sim Lim Tower S() 208787,10 Jln Besar #03-18 Sim Lim Tower S()
10 Jln Besar #03-18 Sim Lim Tower S() 208787,10 Jln Besar #03-18 Sim Lim Tower S() Singapore 208787 (Opposite XXX)
10 Jln Besar #03-18 Sim Lim Tower S() 208787,10 Jln Besar #03-18 Sim Lim Tower S() SG 208787 (Behind Carpark)
"Ocean Financial Centre Building, 10 Collyer Quay, #26-01 49315",Ocean Financial Centre Building 10 Collyer Quay #26-01 Singapore 49315
"Ocean Financial Centre Building, 10 Collyer Quay, #26-01 49315","OcEan fInanCiAl centrE building, 10 collYER quAy, #26-01 Singapore 49315 (Near Exit A)"
"Ocean Financial Centre Building, 10 Collyer Quay, #26-01 49315",Ocean fINAnciAL Centre buIlding  10 collyer qUay  #26-01 S(49315)
400 Orchard Road #22-07 Orchard Towers 238875,400 Orchard ROAD #22-07 Orchard Towers Singapore 238875
400 Orchard Road #22-07 Orchard Towers 238875,400 Orchard Road #22-07 Orchard Towers S238875 (Near Gate 3)
400 Orchard Road #22-07 Orchard Towers 238875,400 oRChaRd Rd #22-07 orChard towers
18 Carpmael Road 429765,18 carpmAEl romd S(429765) (Near Gate 3)
18 Carpmael Road 429765,18 Carpmael Road Singapore 429765
18 Carpmael Road 429765,18 Carpmael rd
29 Ubi Road 4 #04-00 Wangi Industrial Building 408619,29 Ubi ROAD 4 #04-00 Wangi Industrial Building S408619 (Near Gate 3)
29 Ubi Road 4 #04-00 Wangi Industrial Building 408619,29 ubi road 4 #4-00 wangI Industrial buiLdiNG S(408619) (Behind Carpark)
29 Ubi Road 4 #04-00 Wangi Industrial Building 408619,29 Ubi Rd 4 #04-00 Wangi Industrial Building yingapore 408619 (Near Gate 3)
20 Sin Ming Walk #08-02 575570,20 sIn miNg Walk #8-02
20 Sin Ming Walk #08-02 575570,20 Sin Ming Walk #08-02 S(575570)
20 Sin Ming Walk #08-02 575570,20 Sin Ming Walk #08-02 S575570
801 Lorong 7 Toa Payoh Wearnes Technology Building 319319,801 Lorong 7 Toa Payoh Wearnes Technology Building SG 319319 (Beside MRT)
801 Lorong 7 Toa Payoh Wearnes Technology Building 319319,801 Lorong 7 Toa Payoh Wearnes Technology Building S(319319)
801 Lorong 7 Toa Payoh Wearnes Technology Building 319319,801 Lorong 7 Toa Payoh Wearnes Technology Building S319319 (Behind Carpark)
192 Pandan Loop #01-15 128381,192 Pandan Loop #1-15 S128381
192 Pandan Loop #01-15 128381,192 panDan lOop #01-15 SG 128381
192 Pandan Loop #01-15 128381,192 Pandan lOOp #01-15 Singapore 128381
1015 GEYLANG EAST AVENUE 3 02-125 389730,1015 GEYLANG EAST AVENUE 3 02-125 389730 (Near Gate 3)
1015 GEYLANG EAST AVENUE 3 02-125 389730,1015 GEYLANG EAST AVENUz 3 02-125
1015 GEYLANG EAST AVENUE 3 02-125 389730,1015 GEYLANG EAST AVENUE 3 02-125 389730
47 Scotts Rd #14-00 Goldbell Tower S() 228233,47 Scotts Rd #14-00 Goldbell Tower S() S228233 (Near Exit A)
47 Scotts Rd #14-00 Goldbell Tower S() 228233,47 scoTts rd #14-00 gOldbell tOwer s() S228233
47 Scotts Rd #14-00 Goldbell Tower S() 228233,47 sCotts rD #14-00 golDbELl TOweR s() S228233
HDB Bedok 412 Bedok North Avenue 2 #01-124 460412,HDB Bedok 412 Bedok North ave 2 #01-124 S(460412)
HDB Bedok 412 Bedok North Avenue 2 #01-124 460412,hdB bedoK 412 bEDoK north avE 2 #01-124 (Nmar Exit A)
HDB Bedok 412 Bedok North Avenue 2 #01-124 460412,hDb BEdok 412 bEDok rorth aveNUE 2 #01-124 460412 (Beside MRT)
10 Science Park Road #02-27 The Alpha 117684,10 Science Park rd #02-27 The Alpha S(117684)
10 Science Park Road #02-27 The Alpha 117684,10 Science Park ROAD #02-27 The Alpha SG 117684
10 Science Park Road #02-27 The Alpha 117684,10 Science Park Road #2-27 The Alpha 117684
"3016,03-28, Bedok North Ave 4 489947",3016 03-28 beDOk norTh aVE 4 SG 489947 (Opposite Gate 3)
"3016,03-28, Bedok North Ave 4 489947","3016,03-28, Bedok North Ave 4 (Near Exit A)"
"3016,03-28, Bedok North Ave 4 489947",3016 03-28  beDOk noRth ave 4 489947
"1, Sengkang Sq, #B1-50, Compass Pt 545078","1, Sengkang Sq, #B1-50, Compass Pt S(545078)"
"1, Sengkang Sq, #B1-50, Compass Pt 545078","1, Sengkang Sq, #B1-50, Compass Pt S545078"
"1, Sengkang Sq, #B1-50, Compass Pt 545078",1 Sengkang Sq #B1-50 Compass Pt S(545078) (Opposite Gate 3)
912 Upper Thomson Road 787113,912 upper thOmSon RD 787113
912 Upper Thomson Road 787113,912 Upper Thomson Road SG 787113
912 Upper Thomson Road 787113,912 UpPeR thomsOn rd
202 Portsdown Road 139303,202 Portsdown Rd SG 139303 (Behind Carpark)
202 Portsdown Road 139303,202 Portsdowl Road
202 Portsdown Road 139303,202 Portsdown rd S(139303)
The Clift (U/C) 15 Mccallum Street #05-04 69045,The Clift (U/C) 15 Mccallum St #5-04 Singapore 69045 (Opposite Gate 3)
The Clift (U/C) 15 Mccallum Street #05-04 69045,The Clift (U/C) 15 Mccallum st #05-04
The Clift (U/C) 15 Mccallum Street #05-04 69045,the clifT (u/c) 15 mccaLLuM ST #05-04 69045
"BLK 135 JURONG EAST STREET 13, #02-323 600135",BlK 135 jUreNg EAsT sTreET 13 #02-323 S(600135)
"BLK 135 JURONG EAST STREET 13, #02-323 600135","blk 135 jurong EaSt StREet 13, #02-323 Singapore 600135"
"BLK 135 JURONG EAST STREET 13, #02-323 600135","BlK 135 JurOnG EAst sTReet 13, #02-323 S600135"
51 Bras Basah Rd #01-02 Plaza By The Pk S() 189554,51 Bras Basah Rd #01-02 Plaza By The Pk S() S189554
51 Bras Basah Rd #01-02 Plaza By The Pk S() 189554,51 Bras Basah Rd #01-02 Plaza By The Pk S() 189554
51 Bras Basah Rd #01-02 Plaza By The Pk S() 189554,51 Bras Basah Rd #01-02 Plaza By The Pk S() 189554
"170, Upper Bukit Timah Road, , 04-11 Bukit Timah Shopping Centre 588179",170 Upper Bukit cimah rd 04-11 Bukit Timah Shopping Centre 588179
"170, Upper Bukit Timah Road, , 04-11 Bukit Timah Shopping Centre 588179","170, Upper Bukit Timah ROAD, , 04-11 Bukit Timah Shopping pentre SG 588179"
"170, Upper Bukit Timah Road, , 04-11 Bukit Timah Shopping Centre 588179","170, uPPEr buKiT TimaH rd, , 04-11 bUkIt tImah sHoppznG cenTrE S588179"
"331 RIVER VALLEY ROAD, #01-01 238363",331 RIVER VALLEY ROAD #01-01
"331 RIVER VALLEY ROAD, #01-01 238363",331 RIVER VALLEY ROAD #01-01 (Opposite Gate 3)
"331 RIVER VALLEY ROAD, #01-01 238363",331 river VALley roAd #01-01
Blk 125 Pasir Ris St 11 510125,Blk 125 pasir rIS sT 11
Blk 125 Pasir Ris St 11 510125,Blk 125 Pasir Ris St 11
Blk 125 Pasir Ris St 11 510125,Blk 125 Pasir Ris St 11 510125
29 Chempaka Ave S() 349642,29 chemPakA aVe s() SG 349642 (Opposite mXX)
29 Chempaka Ave S() 349642,29 chempAKA ave s()
